portfolio_name,asset_name,asset_class,issuer,weight,asset_class_label
Mean_Variance_lambda_20,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.00843480367501645,Obligations corporate
Max_Sharpe,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.00844921134780161,Obligations corporate
Max_Return,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008434788592747645,Obligations corporate
Mean_CVaR_95,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008434803656153119,Obligations corporate
Risk_Parity,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008422345628380866,Obligations corporate
MeanVariance_TurnoverPenalty,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008434788817365278,Obligations corporate
MultiCriteria_Recommended_Portfolio,EO ATL 2022-1,Obligations corporate,TN8DSPQCBC06,0.008434803656153119,Obligations corporate
Current_Portfolio,BIAT,Actions cotées,BIAT,0.006709687228526206,Actions cotées
Minimum_Variance,BIAT,Actions cotées,BIAT,0.006709700508543297,Actions cotées
Mean_Variance_lambda_2,BIAT,Actions cotées,BIAT,0.006709690749864259,Actions cotées
Mean_Variance_lambda_5,BIAT,Actions cotées,BIAT,0.006709688825252429,Actions cotées
Mean_Variance_lambda_10,BIAT,Actions cotées,BIAT,0.023014290780162757,Actions cotées
Mean_Variance_lambda_20,BIAT,Actions cotées,BIAT,0.007222395416073141,Actions cotées
Max_Sharpe,BIAT,Actions cotées,BIAT,0.006709683226050121,Actions cotées
Max_Return,BIAT,Actions cotées,BIAT,0.006709687516084041,Actions cotées
Mean_CVaR_95,BIAT,Actions cotées,BIAT,0.00670968707390706,Actions cotées
Risk_Parity,BIAT,Actions cotées,BIAT,0.013549506468286263,Actions cotées
MeanVariance_TurnoverPenalty,BIAT,Actions cotées,BIAT,0.0067096872550995714,Actions cotées
MultiCriteria_Recommended_Portfolio,BIAT,Actions cotées,BIAT,0.00670968707390706,Actions cotées
Current_Portfolio,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.0061743504717015054,Obligations corporate
Minimum_Variance,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.006174673434706306,Obligations corporate
Mean_Variance_lambda_2,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.006174348965678824,Obligations corporate
Mean_Variance_lambda_5,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.006174350571051504,Obligations corporate
Mean_Variance_lambda_10,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.006174387799667614,Obligations corporate
Mean_Variance_lambda_20,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.006174363854166416,Obligations corporate
Max_Sharpe,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.006188540201651236,Obligations corporate
Max_Return,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.00617435023099535,Obligations corporate
Mean_CVaR_95,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.0932838463707573,Obligations corporate
Risk_Parity,EO AB SUB 2023-2,Obligations corporate,TNDE9EH7SA12,0.00634957843259697,Obligations corporate
